episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
280,1.0,0.2077540528615499,-2.1729357192862153,179.97313993373166,4.517489037962726,1.385122068092219,[4.517489037962726 1.385122068092219],0.0,False,True,0.2333414524026554,0,59.99785047027138,1186.886,prepare,0.0,0
280,2.0,0.20775390119072043,-2.1729670099369005,179.9865076096849,-7.725072536183923,0.5,[-7.725072536183923 0.5],0.21945786218664912,False,True,0.23334169291509746,0,59.99785047027138,1186.959,in_progress,0.0,0
280,3.0,0.20321151863329542,-2.1726925934421444,179.8957010769802,6.861172223394377,3.5012387922200605,[6.861172223394377 3.5012387922200605],0.2873358578527069,False,True,0.24091270923866653,0,59.99785047027138,1187.013,in_progress,0.0,0
280,4.0,0.185036071919727,-2.170837757452547,179.43184985945243,-6.599332038314017,1.857162676976337,[-6.599332038314017 1.857162676976337],0.20491690312178104,False,True,0.27120693287540465,1,59.99785047027138,1187.085,in_progress,0.0,0
280,5.0,0.1495903259068813,-2.169810488139139,179.01870485766966,30.0,1.6748662844937952,[30.0 1.6748662844937952],0.16344132755188723,False,True,0.33028569429836124,1,59.99785047027138,1187.152,in_progress,0.0,0
280,6.0,0.10872799834309854,-2.177986060966338,-178.92737391567084,-7.07779496600568,2.778062599570786,[-7.07779496600568 2.778062599570786],0.25575738770196493,False,True,0.39838880278042904,1,59.99785047027138,1187.222,in_progress,0.0,0
280,7.0,0.04445312844533306,-2.19196866994286,-176.30777610178203,3.6657322634550766,4.0,[3.6657322634550766 4.0],0.33970401887508433,False,True,0.5055119328498279,1,59.99785047027138,1187.29,in_progress,0.0,0
280,8.0,-0.023027240391980647,-2.200418481461272,-175.32691852126123,-7.437480443848884,2.1891177500409222,[-7.437480443848884 2.1891177500409222],0.28942388997146623,False,True,0.6180178636921372,1,59.99785047027138,1187.351,in_progress,0.0,0
280,9.0,-0.10474318626721162,-2.2093186638203637,-174.8422900964327,-28.169255503858412,0.5,[-28.169255503858412 0.5],0.18734942925072123,False,True,0.7542247554376862,1,59.99785047027138,1187.418,in_progress,0.0,0
280,10.0,-0.18520335908371838,-2.2061650408677806,-177.1831300912943,-30.0,0.5,[-30.0 0.5],0.20321684813293694,False,True,0.8883267085766595,2,59.99785047027138,1187.492,in_progress,0.0,0
