episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
260,1.0,0.2077538798205043,-2.172970036414543,179.98789615521443,16.79716039618912,4.0,[16.79716039618912 4.0],0.0,False,True,0.23334172734557618,0,59.99785047027138,1131.255,prepare,0.0,0
260,2.0,0.20775390119074708,-2.1729670099369005,179.9865076096849,-30.0,3.967518074983086,[-30.0 3.967518074983086],0.001,False,True,0.23334169291509746,0,59.99785047027138,1131.327,in_progress,0.0,0
260,3.0,0.19990505726963353,-2.1723996690219067,-179.9648988419411,14.493600707892263,2.5365973305995553,[14.493600707892263 2.5365973305995553],0.001,False,True,0.24642379042887366,0,59.99785047027138,1131.397,in_progress,0.0,0
260,4.0,0.17669087165157932,-2.1698541047772073,179.87790427869336,-30.0,2.68526562290522,[-30.0 2.68526562290522],0.001,False,True,0.28511648398170414,1,59.99785047027138,1131.458,in_progress,0.0,0
260,5.0,0.1434629916636447,-2.164794359248754,178.58057225258653,-18.164510647929855,0.5,[-18.164510647929855 0.5],0.001,False,True,0.34050025241442156,1,59.99785047027138,1131.524,in_progress,0.0,0
260,6.0,0.10629571809641286,-2.150673374332994,175.154690458618,-18.836330203349085,1.5111196286271222,[-18.836330203349085 1.5111196286271222],0.001,False,True,0.4024534683188862,1,59.99785047027138,1131.592,in_progress,0.0,0
260,7.0,0.05738621064088148,-2.126911624876544,170.6946122424336,2.528837780241183,1.3394645840551251,[2.528837780241183 1.3394645840551251],0.001,False,True,0.4839815585594264,1,59.99785047027138,1131.653,in_progress,0.0,0
260,8.0,0.004176010198883223,-2.1061241478537767,167.89832675776336,7.092619832285656,1.7435815074167915,[7.092619832285656 1.7435815074167915],0.001,False,True,0.5725843356192757,1,59.99785047027138,1131.723,in_progress,0.0,0
260,9.0,-0.06421296236494753,-2.093130587728271,168.19573367825004,0.8738096254002059,0.5,[0.8738096254002059 0.5],0.001,False,True,0.6865571827781929,1,59.99785047027138,1131.793,in_progress,0.0,0
260,10.0,-0.14007763358912445,-2.082048495608436,169.30166742527686,12.541354902196673,3.3545797187313324,[12.541354902196673 3.3545797187313324],0.001,False,True,0.8129918603870332,2,59.99785047027138,1131.862,in_progress,0.0,0
260,11.0,-0.2206906923266479,-2.074091524359173,170.91996349608021,30.0,1.4440832973898212,[30.0 1.4440832973898212],0.001,False,True,0.9473438868769252,2,59.99785047027138,1131.916,in_progress,0.0,0
260,12.0,-0.30713163612680905,-2.0849618871008646,176.3394229546466,9.518313973889484,2.66582760140298,[9.518313973889484 2.66582760140298],0.44129611295289284,False,True,1.0914858197084487,2,59.99785047027138,1131.984,in_progress,0.0,0
260,13.0,-0.387871637881972,-2.1029654636191646,-178.40125055174326,-30.0,0.834610672060096,[-30.0 0.834610672060096],0.31106977128052776,False,True,1.2260632877047828,2,59.99785047027138,1132.055,in_progress,0.0,0
