episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
220,18.0,-1.212612059886314,-2.365898027757369,176.09457090739562,-19.567986583079247,0.5,[-19.567986583079247 0.5],0.5857796455973057,False,True,2.6006367279484475,5,59.99785047027138,841.533,in_progress,0.0,0
220,19.0,-1.343484861747643,-2.3599306475708,176.75661722406835,-0.8425011697120333,3.2697896903976695,[-0.8425011697120333 3.2697896903976695],1.5193987730299867,False,True,2.819120946230125,5,59.99785047027138,841.603,in_progress,0.0,0
220,20.0,-1.514731614477886,-2.3482821174784974,176.5423097495607,30.0,1.2744397746772065,[30.0 1.2744397746772065],0.8072588814277554,False,True,3.1045243409018433,6,59.99785047027138,841.667,in_progress,0.0,0
220,21.0,-1.6636129109283704,-2.3474869271483674,178.4141131177559,-30.0,4.0,[-30.0 4.0],1.4298125901337186,False,True,3.3525157934982834,6,59.99785047027138,841.733,in_progress,0.0,0
220,22.0,-1.8059280203471926,-2.346726716593649,178.6441715775036,-18.835591848995723,0.5,[-18.835591848995723 0.5],0.6799844090484268,False,True,3.5897156101078362,7,59.99785047027138,841.809,in_progress,0.0,0
220,23.0,-1.9716887544130266,-2.3234525509709663,174.71288122109317,-27.97897999983675,4.0,[-27.97897999983675 4.0],1.4753142978069318,False,True,3.865677258486569,7,59.99785047027138,841.871,in_progress,0.0,0
220,24.0,-2.1194274258083245,-2.2944408134481558,171.54660255960894,-4.624126778111602,0.5,[-4.624126778111602 0.5],0.906435708743915,False,True,4.111955661732165,8,59.99785047027138,841.943,in_progress,0.0,0
220,25.0,-2.2422107753284646,-2.2570143848088,166.5401302683595,30.0,3.3530484911542646,[30.0 3.3530484911542646],1.4900739776968943,False,True,4.316594194601899,8,59.99785047027138,842.002,in_progress,0.0,0
220,26.0,-2.3837271090923675,-2.212856661123385,164.65043164185818,-8.43080006084276,2.7003382980146684,[-8.43080006084276 2.7003382980146684],1.6902615102563503,False,True,4.552551831992843,9,59.99785047027138,842.075,in_progress,0.0,0
220,27.0,-2.5339680250559566,-2.1686229901484295,163.93351104302778,2.6523110742487077,1.7617915355170433,[2.6523110742487077 1.7617915355170433],1.4342536707954356,False,True,4.803040508319893,9,59.99785047027138,842.144,in_progress,0.0,0
220,28.0,-2.6863175746740904,-2.1204097239326125,163.2135668722126,30.0,2.2426843524269,[30.0 2.2426843524269],1.283183088201337,False,True,5.056935033929671,10,59.99785047027138,842.206,in_progress,0.0,0
220,29.0,-2.841381479787562,-2.0819038816503865,164.86798995443718,-9.997764300924146,0.5,[-9.997764300924146 0.5],1.1067385549554671,False,True,5.31521419419704,10,59.99785047027138,842.279,in_progress,0.0,0
220,30.0,-2.973440075671598,-2.0595372963424117,168.77198395330336,30.0,1.7546005124828497,[30.0 1.7546005124828497],1.100954673826114,False,True,5.535269578790333,11,59.99785047027138,842.341,in_progress,0.0,0
220,31.0,-3.0883570973244474,-2.0396485487178064,170.45847048283824,-2.6043060247441687,0.5,[-2.6043060247441687 0.5],1.0430439582308053,False,True,5.72676021015529,11,59.99785047027138,842.402,in_progress,0.0,0
