episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
500,1.0,0.09786676311491409,1.0447459670493162,131.71039921741476,22.83072436728407,1.820320638261883,[22.83072436728407 1.820320638261883],0.0,False,True,0.4212283647366653,1,33.2752652951703,2249.502,prepare,0.0,0
500,2.0,0.09788475794827518,1.0445381391243203,131.73752397506223,-19.023599976426958,1.0,[-19.023599976426958 1.0],1.0,False,True,0.4207308079107254,1,33.2752652951703,2249.573,in_progress,0.0,0
500,3.0,0.09323956104053696,1.0506539925781964,131.6885870410626,-8.441765101482162,1.0919362796693965,[-8.441765101482162 1.0919362796693965],1.0,False,True,0.44371581058741344,1,33.2752652951703,2249.651,in_progress,0.0,0
500,4.0,0.08179032397881572,1.0725720207919003,130.1983435774596,-24.620416584057796,1.302256958047293,[-24.620416584057796 1.302256958047293],1.0,False,True,0.5155518288331545,1,33.2752652951703,2249.716,in_progress,0.0,0
500,5.0,0.06960360584520725,1.1023849375961734,127.81609391045788,-17.954691979456776,1.0,[-17.954691979456776 1.0],1.0,False,True,0.6063981126468547,2,33.2752652951703,2249.775,in_progress,0.0,0
500,6.0,0.05804739266266322,1.1482729273726142,123.33031680721906,21.093060527186104,2.6727862350225795,[21.093060527186104 2.6727862350225795],1.0,False,True,0.7316297199931678,2,33.2752652951703,2249.844,in_progress,0.0,0
500,7.0,0.04471362338217405,1.201969346696661,119.27765538317838,30.0,2.575504917501897,[30.0 2.575504917501897],1.0,False,True,0.8777881938375458,2,33.2752652951703,2249.913,in_progress,0.0,0
500,8.0,0.014274771441796286,1.2561493485638489,119.2184822121389,30.0,1.7944151001578623,[30.0 1.7944151001578623],1.0,False,True,1.0596945383300844,3,33.2752652951703,2249.973,in_progress,0.0,0
500,9.0,-0.034108889029901425,1.3085500131281615,122.93426730686443,30.0,3.0,[30.0 3.0],1.0,False,True,1.2740306086974251,3,33.2752652951703,2250.039,in_progress,0.0,0
500,10.0,-0.103210496803989,1.3652321224900876,128.9896683494375,30.0,2.714243435082505,[30.0 2.714243435082505],1.0,False,True,1.542325074589173,3,33.2752652951703,2250.107,in_progress,0.0,0
500,11.0,-0.19813067306448673,1.4172642437955087,137.93287610879761,0.6194442736054775,2.466278474773204,[0.6194442736054775 2.466278474773204],1.0,False,True,1.8488836429056483,4,33.2752652951703,2250.174,in_progress,0.0,0
500,12.0,-0.2885750986254497,1.4629306162142985,145.04100704112008,-5.151444343857079,1.0916526115713214,[-5.151444343857079 1.0916526115713214],1.0,False,True,2.13221192151706,4,33.2752652951703,2250.247,in_progress,0.0,0
500,13.0,-0.38042398902295516,1.5297759251999188,146.9981983563552,-30.0,1.0,[-30.0 1.0],1.0,False,True,2.465666819059746,4,33.2752652951703,2250.313,in_progress,0.0,0
500,14.0,-0.45028012806265877,1.589083849664676,146.02548044022058,-30.0,1.1492547192132967,[-30.0 1.1492547192132967],1.0,False,True,2.7383357797628234,5,33.2752652951703,2250.376,in_progress,0.0,0
500,15.0,-0.5182650922385894,1.6539932013729837,142.75994053914087,-30.0,1.0,[-30.0 1.0],1.0,False,True,3.019857440510355,5,33.2752652951703,2250.443,in_progress,0.0,0
500,16.0,-0.5707343975503919,1.7162298361818213,138.80446737832224,-30.0,1.0,[-30.0 1.0],1.0,False,True,3.264316496961418,5,33.2752652951703,2250.515,in_progress,0.0,0
500,17.0,-0.6150047443378553,1.7771345496020527,135.1203725105922,-19.942480239411843,1.0,[-19.942480239411843 1.0],1.0,False,True,3.4895301335278446,5,33.2752652951703,2250.576,in_progress,0.0,0
500,18.0,-0.6547974161230178,1.8389061525594164,131.61084465794596,-30.0,2.2810628997860993,[-30.0 2.2810628997860993],1.0,False,True,3.707763907830878,6,33.2752652951703,2250.637,in_progress,0.0,0
500,19.0,-0.6851192099504929,1.9005407337092144,127.48252456899179,23.556776678790087,1.0,[23.556776678790087 1.0],1.0,False,True,3.906803756060388,6,33.2752652951703,2250.711,in_progress,0.0,0
500,20.0,-0.7230058671536186,1.9825103795486578,122.81450156490112,-21.691032405267734,1.0,[-21.691032405267734 1.0],1.0,False,True,4.166663913350778,6,33.2752652951703,2250.773,in_progress,0.0,0
500,21.0,-0.754886230026057,2.0378425305037586,122.10969315580289,30.0,1.797363295609466,[30.0 1.797363295609466],1.0,False,True,4.354655959992737,6,33.2752652951703,2250.846,in_progress,0.0,0
500,22.0,-0.7982062805380528,2.1069112696364813,122.20958727102744,23.750865810693263,2.3988230425912693,[23.750865810693263 2.3988230425912693],1.0,False,True,4.59634493518845,7,33.2752652951703,2250.906,in_progress,0.0,0
500,23.0,-0.8570127913638801,2.168290810404443,126.03490034281467,30.0,1.0,[30.0 1.0],1.0,False,True,4.851609035589812,7,33.2752652951703,2250.974,in_progress,0.0,0
500,24.0,-0.9287723185594716,2.2240190831852313,131.73017236696336,-30.0,1.9932770015814159,[-30.0 1.9932770015814159],1.0,False,True,5.120007275091773,7,33.2752652951703,2251.035,in_progress,0.0,0
500,25.0,-0.9938646472624397,2.2859024735955096,133.08066721111123,30.0,1.0,[30.0 1.0],1.0,False,True,5.388924067655874,7,33.2752652951703,2251.104,in_progress,0.0,0
500,26.0,-1.051554658504219,2.3548504791024842,131.96493029071937,-30.0,1.0,[-30.0 1.0],1.0,False,True,5.658987939382447,8,33.2752652951703,2251.165,in_progress,0.0,0
